Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Онищенко,Опанас,Андрійович,чоловіча,1930-07-12,Музикознавець,хутір Куп'янськ,"площа ім. С.Ю. Вітте, буд. 339, Ізмаїл, 53417",001 304-26-11,petrokalenychenko@example.net
Шевченко,Юстина,Іванівна,жіноча,1994-01-02,Акушер,селище Добромиль,"проспект Овідіопольська дуга, буд. 1, Житомир, 71178",+380 20 392-53-07,demiankorpaniuk@example.net
Даниленко,Валентина,Олександрівна,жіноча,1965-09-18,Пекар,село Дебальцеве,"площа Горбатий міст, буд. 48 кв. 331, Свалява, 72349",616-53-68,varfolomii71@example.net
Величко,Любов,Миколаївна,жіноча,1942-02-26,Кінорежисер,місто Бахчисарай,"парк Водопровідний 3-й, буд. 7 кв. 703, Монастирище, 09715",+380 81 987-93-18,dzyndraomelian@example.org
Примаченко,Спас,Миколайович,чоловіча,1973-09-24,Географ,хутір Сарни,"набережна Парковий, буд. 6 кв. 379, Березівка, 42015",541-28-23,panasostapchuk@example.net
Романчук,Наталія,Дмитрівна,жіноча,1987-05-20,Каскадер,місто Торецьк,"проспект Мала Садова, буд. 98 кв. 4, Угнів, 14001",+380 48 060-91-33,okhrim83@example.net
Власюк,Амалія,Сергіївна,жіноча,1978-06-03,Лікар,селище Деражня,"сквер Обсерваторний, буд. 86, Ізюм, 27247",104-76-11,bohdan62@example.net
Тарасенко,Станіслав,Іванович,чоловіча,1981-05-21,Актор,селище Нове Давидково,"проспект 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 46, Верхньодніпровськ, 44391",+380 30 170-75-49,rostyslav08@example.net
Товстуха,Роман,Юрійович,чоловіча,1960-10-12,Слідчий,село Надвірна,"площа Артилерійська, буд. 1, Новий Калинів, 51950",+380 (71) 965-28-32,iosyp36@example.com
Жук,Марко,Леонідович,чоловіча,1953-10-27,Адвокат,селище Пустомити,"шосе Лютнева, буд. 0, Селидове, 26012",+380 92 711-78-56,rokhrimenko@example.org
Луценко,Онисим,Богданович,чоловіча,1940-12-16,Географ,хутір Нове Давидково,"вулиця Данила Крижанівського, буд. 8 кв. 7, Погребище, 55680",+380 35 417-41-61,larysabaidak@example.org
Бабич,Орина,Леонідівна,жіноча,1954-05-27,Астронавт,хутір Тростянець,"проспект Будівельний, буд. 16, Надвірна, 82806",493-80-27,ivan72@example.net
Дуплій,Євген,Миколайович,чоловіча,1949-03-13,Математик,хутір Луганськ,"узвіз Пересипська 4-та, буд. 91 кв. 63, Рудки, 25026",+380 59 971 47 89,ihnatdrobakha@example.org
Оніщук,Богдан,Андрійович,чоловіча,1932-05-27,Науковець,селище Полтава,"площа Чорноморський 13-й, буд. 191 кв. 58, Новомосковськ, 79727",+380 23 622-79-38,leontiiturkalo@example.org
Артюшенко,Камілла,Євгенівна,жіноча,2008-06-04,Продюсер,селище Рівне,"вулиця Дачний, буд. 510, Прип'ять , 03689",+380 (31) 439-02-47,vbalaban@example.org
Гречко,Василина,Олександрівна,жіноча,1970-04-28,Петрограф,хутір Болехів,"набережна Іванова 2-й, буд. 63, Семенівка, 53728",066 059 52 94,bohuslavaiashchenko@example.org
Зубко,Устим,Леонідович,чоловіча,1982-06-09,Мірошник,село Саки ,"площа Яблучна, буд. 55, Сніжне, 54789",075 445 73 37,lukashpetro@example.org
Шморгун,Еріка,Григорівна,жіноча,1963-02-12,Графік,місто Молодогвардійськ,"парк Богдана Хмельницького, буд. 9 кв. 906, Хмільник, 01882",195 56 92,levkoiaremko@example.net
Гаврилець,Франц,Федорович,чоловіча,1988-12-18,Ґрунтознавець,селище Пологи ,"провулок Стовпова, буд. 62, Дружба , 48391",+380 (12) 792-02-93,kanivetsoryna@example.org
Баран,Демʼян,Ярославович,чоловіча,1972-03-21,Державний службовець,місто Тараща,"проспект Матроська Слобідка, буд. 93 кв. 3, Сіверськ, 53200",+380 (33) 776-16-66,iukhymhuk@example.net
Лазаренко,Яків,Олександрович,чоловіча,1975-06-27,Дипломат,місто Антрацит ,"проспект Басейний 2-й, буд. 663, Львів, 71325",115 19 65,odarka91@example.org
Бабич,Амвросій,Федорович,чоловіча,2002-09-13,Футболіст,селище Ужгород,"проспект Рельєфна, буд. 813, Вижниця, 84655",+380 03 451-38-88,xnestaiko@example.net
Ващенко-Захарченко,Леон,Тарасович,чоловіча,1980-09-02,Ювелір,хутір Кальміуське,"сквер Косвена, буд. 9, Попасна, 64501",+380 (49) 228-27-17,diatsenko@example.net
Карпенко,Теодор,Миколайович,чоловіча,1948-07-17,Лікар,село Алчевськ,"парк Гвоздична, буд. 61, Жовква, 09486",064 293 26 74,trokhymgoliash@example.com
Товстуха,Ростислав,Леонідович,чоловіча,1948-10-23,Слідчий,село Єнакієве,"шосе Семафорний, буд. 49, Підгайці, 69001",026 320-07-83,hanna72@example.net
Ткач,Емілія,Русланівна,жіноча,1995-05-29,Єгер,хутір Баранівка,"парк Лінія 29-та, буд. 560, Балта, 45150",045 565-11-04,hzabara@example.com
Цюпа,Софія,Андріївна,жіноча,1952-04-26,Електромонтер,хутір Стрий,"площа Ванний, буд. 96, Кременець, 11904",714-55-91,tytarenkoievhen@example.com
Хорішко,Богуслава,Юріївна,жіноча,1994-03-30,Промисловець,селище Покровськ,"шосе Велика Садова, буд. 96, Камінь-Каширський, 76799",606-04-63,azaratamaniuk@example.net
Вакарчук,Марина,Костянтинівна,жіноча,1945-05-04,Сценарист,хутір Приморськ (Україна),"набережна Ванний, буд. 05 кв. 539, Шепетівка, 37800",931 45 70,ihoriurchenko@example.org
Лемешко,Давид,Вікторович,чоловіча,1966-07-02,Геолог,хутір Борислав,"площа Спортивна, буд. 14 кв. 96, Нововолинськ, 05559",+380 (16) 123-62-50,veniiamyn72@example.net
Карпа,Єфрем,Леонідович,чоловіча,2004-01-29,Головний меркшейдер,село Болград,"сквер Паустовського, буд. 0, Монастириська, 30052",091 464 12 21,halyna10@example.com
Левченко,Любов,Григорівна,жіноча,1948-06-23,Сантехнік,хутір Хоростків,"сквер Дружний, буд. 4 кв. 706, Волноваха, 94127",063 14 01,udovychenkopetro@example.net
Карпенко,Григорій,Сергійович,чоловіча,1968-10-08,Палеонтолог,село Кодима,"набережна Тетяни Тесс, буд. 262, Нове Давидково, 22968",+380 51 599 44 52,cshukhevych@example.com
Євтушенко,Левко,Миколайович,чоловіча,1945-07-01,Програміст,хутір Гайворон,"проспект Сумський, буд. 7 кв. 3, Першотравенськ, 70113",031 449-49-52,bashtanserhii@example.org
Удовиченко,Венедикт,Олександрович,чоловіча,1968-01-04,Вчитель,місто Сокиряни,"набережна Флотський 1-й, буд. 85 кв. 879, Вуглегірськ, 43411",+380 20 963-81-85,aaron30@example.net
Бандура,Олег,Михайлович,чоловіча,1940-04-03,Філолог,селище Путивль,"провулок Змієнка Всеволода, буд. 4 кв. 851, Старий Крим, 35674",929-41-50,andriichuksemen@example.org
Карпа,Симон,Русланович,чоловіча,1984-04-24,Адвокат,селище Гнівань,"вулиця Крушельницької, буд. 86 кв. 646, Таврійськ, 36789",+380 10 310 50 89,ruslan93@example.com
Чумаченко,Віолетта,Михайлівна,жіноча,1950-10-09,Клавішник,селище Тетіїв,"провулок Наявний 2-й, буд. 42, Почаїв, 77269",623-90-60,ievtushokdan@example.net
Ярош,Євген,Петрович,чоловіча,1966-11-07,Доцент,село Конотоп,"сквер Мічуріна, буд. 433 кв. 39, Родинське, 97989",+380 41 404 95 05,aandriiovych@example.net
Тимчук,Олег,Богданович,чоловіча,1947-12-02,Зоолог,селище Токмак,"парк Онезька, буд. 01, Сватове, 69193",264 35 54,eduard59@example.org
